y,a,c02,c03,c04,c05,c06,c07,n01,n02,n03,n04
0,0,1,0,0,0,0,0,1,0,0,0
0,0,5,2,0,0,0,0,0,0,0,0
0,1,0,2,0,0,0,0,2,0,0,0
0,0,0,0,1,0,0,0,0,8,8,0
0,0,0,2,0,0,1,0,0,0,10,0
0,0,0,2,0,0,1,0,0,0,0,0
0,0,0,0,1,0,1,0,0,0,79,0
0,0,0,1,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,1,0,0,0,0,0
0,0,2,1,0,0,1,0,2,0,0,0
1,0,2,0,0,0,1,0,2,14,238,0
0,0,0,2,1,0,1,0,0,0,3,0
0,0,0,2,1,0,0,0,0,0,0,0
0,0,5,1,0,0,1,0,2,60,133,0
0,1,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0
1,0,0,0,1,0,1,0,3,0,0,0
0,1,2,0,1,0,0,0,3,0,0,0
0,0,0,0,1,0,0,0,3,0,0,0
0,0,0,0,1,0,0,0,0,0,26,0
1,1,1,0,0,0,1,0,3,7,264,0
0,0,0,2,1,0,0,0,0,0,0,0
0,0,0,2,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,0,4,0
1,0,0,0,0,0,0,0,1,0,181,0
1,0,0,2,0,0,1,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,2,1,0,0,0,1,0,0,0
0,1,0,0,1,0,0,0,0,0,0,0
1,0,0,0,1,0,1,0,2,42,236,0
1,0,0,0,1,0,0,0,0,0,256,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,2,1,1,1,0,3,0,192,3671
0,0,0,1,0,0,1,1,2,0,0,0
0,0,0,0,0,0,1,0,0,0,65,0
0,0,0,2,1,0,0,0,0,0,0,0
0,0,1,2,1,0,0,0,0,0,0,0
0,1,1,0,1,0,1,0,0,0,0,0
0,1,2,0,0,0,0,0,2,0,0,0
1,0,0,1,1,0,0,0,2,0,0,0
0,1,0,1,1,0,0,0,3,0,0,0
0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,2,0,0,0,0,1,0,0,0
0,0,1,1,1,0,0,0,2,0,0,0
0,0,0,2,0,0,0,0,0,0,19,0
0,0,0,0,1,0,0,0,0,0,8,0
0,0,0,2,0,0,0,0,0,0,0,0
0,0,1,2,1,0,0,0,0,0,2,0
0,0,1,2,1,0,0,0,1,0,0,0
1,1,0,1,0,0,0,0,3,2,278,0
1,0,0,1,0,0,1,0,3,112,0,0
0,0,0,0,1,0,1,0,0,0,0,0
0,0,0,2,0,0,1,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,1,0,0,0
0,0,1,0,1,0,1,0,2,0,0,0
1,0,0,0,0,0,0,0,2,0,18,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,3,0,0,0
1,1,1,2,0,1,1,0,1,0,0,0
1,1,1,1,0,0,0,0,3,0,0,0
0,0,0,2,0,0,0,0,1,0,0,0
0,0,0,2,1,0,0,0,0,0,11,0
1,0,0,2,0,0,1,0,0,0,41,0
0,0,0,0,0,0,0,0,1,0,0,0
0,1,1,0,1,0,0,0,1,0,0,0
0,0,0,0,0,0,1,0,0,0,46,0
1,0,0,0,0,0,1,1,0,0,3,0
1,1,3,1,0,0,0,0,2,63,0,0
0,0,0,0,0,0,0,0,0,0,30,0
1,0,0,1,0,1,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,1,0,0,0
0,0,0,1,0,0,0,0,2,0,0,0
0,0,0,1,1,0,1,0,1,0,0,0
0,0,2,0,1,0,0,0,0,0,12,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,7,0
1,0,0,2,1,0,1,0,1,0,49,0
1,0,0,2,0,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0,0,287,0,0
0,1,0,0,0,0,1,0,2,0,0,0
0,0,0,0,1,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0
0,0,5,1,1,0,0,0,3,0,0,0
1,0,0,0,0,0,0,0,3,0,130,0
0,0,0,0,1,0,1,1,3,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,3,0,0,0,0,0,1,0,0,0
0,1,0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,3,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,1,2,1,0,0,0,0,3,281,539,0
0,0,0,0,0,0,0,0,1,0,0,0
0,0,2,2,0,0,0,0,1,0,0,0
1,1,0,0,0,0,0,0,2,0,0,0
0,1,2,0,1,0,0,0,1,11,126,0
0,0,0,2,0,0,0,0,0,0,0,0
1,0,0,1,1,0,0,0,2,0,0,0
0,0,0,1,1,0,1,0,0,0,18,0
0,0,0,2,1,0,1,0,0,0,0,0
0,0,0,0,1,0,0,0,2,0,53,0
0,0,0,1,0,0,1,0,3,0,0,0
0,0,0,2,0,0,0,0,1,0,0,0
0,0,0,2,0,0,0,0,1,0,0,0
1,0,0,2,1,0,1,0,1,0,262,0
1,0,0,1,0,0,1,0,3,0,27,0
0,0,0,0,0,0,0,0,2,0,18,0
0,0,0,0,1,0,0,0,0,0,5,0
0,1,2,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,0,1,1,1,1,1,0,127,1193
1,0,1,1,0,0,1,0,2,433,103,0
1,0,1,2,0,1,0,0,1,0,0,153
0,0,0,2,1,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,23,0
0,0,0,0,0,0,1,0,0,0,9,0
0,1,1,1,1,0,0,0,3,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
1,0,2,0,0,0,0,0,3,0,0,0
0,0,0,2,1,0,1,0,0,0,0,0
1,0,0,1,1,0,1,1,2,0,211,0
0,1,0,0,0,0,0,0,0,0,119,0
0,0,1,0,0,0,0,0,2,0,0,0
0,0,0,2,0,0,0,0,0,0,201,0
0,0,0,0,1,0,0,0,1,11,282,0
0,0,0,1,1,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,1,0,0,0
0,0,0,1,0,0,1,0,2,0,0,0
0,1,0,2,0,0,0,0,1,0,0,0
0,0,0,2,0,0,1,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0
0,0,3,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,1,0,0,0,0,0
0,1,0,1,1,0,0,0,0,0,0,0
0,0,0,2,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0
0,0,2,2,0,0,0,0,3,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,0,0,0,0,1,16,34,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,2,0,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,0,0,148,0
0,0,1,0,0,0,0,0,3,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,2,1,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,3,0,275,0
0,0,2,2,0,0,1,0,1,0,16,0
0,0,1,0,1,0,0,0,0,0,12,0
1,0,0,1,0,0,1,1,3,0,4,0
0,0,0,2,0,0,1,0,0,0,92,0
1,1,0,0,0,0,0,0,1,0,175,0
1,1,0,0,0,0,0,0,3,0,79,0
0,0,0,1,0,0,0,0,1,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,0,1,0,0,0,3,0,0,0
0,0,0,1,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,263,0
0,1,0,1,0,0,0,0,0,0,0,0
1,0,2,1,1,0,1,0,1,0,0,0
1,0,2,0,0,0,0,0,1,0,6,0
0,1,0,1,1,0,1,0,2,0,0,0
0,0,5,2,0,0,0,0,1,0,0,0
0,0,0,1,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,2,194,220,0
0,1,0,1,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,0,0,0
0,0,1,0,0,0,1,0,2,0,0,0
0,0,0,1,1,0,1,0,1,0,14,0
0,1,0,1,1,0,0,0,3,0,16,0
0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,1,0,1,0,0,0,0,0
0,0,0,0,1,0,0,0,1,0,0,0
0,0,2,0,0,0,0,0,0,0,0,0
0,0,3,2,1,0,0,0,1,0,0,0
0,1,5,1,1,0,0,0,0,0,0,0
0,0,4,2,1,0,1,0,0,0,0,0
1,0,0,1,0,0,1,0,1,0,26,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,3,0,61,0
0,0,0,0,0,0,1,0,1,0,12,0
0,0,0,0,0,0,0,0,3,0,0,0
0,0,4,0,0,0,0,0,1,0,15,0
0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,54,0
0,0,0,0,0,0,0,0,1,0,0,0
1,0,2,0,1,0,0,0,2,0,0,0
0,0,0,2,1,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,1,0,19,0
0,0,0,2,1,0,0,0,1,0,0,0
0,0,3,1,0,0,1,0,3,0,178,0
0,1,0,1,0,0,0,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,21,0
0,0,0,0,0,0,1,0,3,0,395,0
0,1,0,1,0,0,0,0,2,6,12,0
0,0,0,2,0,0,1,0,0,0,0,0
1,0,1,1,1,0,0,0,1,0,383,0
0,0,0,1,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0
1,0,1,0,1,0,0,0,3,0,0,0
0,0,1,0,0,0,0,0,2,14,111,0
0,0,0,0,1,0,0,0,1,0,29,0
0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,1,1,2,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,2,0,0,1,0,0,0,0,0
0,0,4,1,0,0,1,0,1,0,144,0
0,1,1,1,0,0,1,1,3,1574,77,0
0,0,0,2,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,385,0
0,0,1,2,1,0,0,0,0,0,0,0
0,0,0,2,1,0,1,0,0,0,0,0
0,1,0,1,1,0,1,1,0,0,0,0
1,1,0,2,0,0,0,0,1,0,0,0
0,0,0,2,1,0,1,0,0,9,121,0
1,0,0,2,0,0,0,0,1,0,0,0
0,0,0,2,0,0,0,0,1,10,104,0
0,0,1,1,0,0,1,0,3,0,0,787
0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,0,0,0,0
0,0,0,2,0,0,1,0,0,0,0,0
0,1,1,0,1,0,1,1,2,0,0,0
1,0,0,1,0,0,0,0,3,0,832,0
0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0
0,1,0,2,0,0,0,0,0,0,0,0
1,1,3,1,0,0,0,0,3,32,0,0
1,0,0,0,1,0,1,0,0,0,0,0
0,0,0,1,1,0,1,0,0,0,0,0
0,0,0,2,0,0,0,0,1,0,178,0
0,0,0,1,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,2,0,0,1,0,1,0,20,0
1,0,1,0,1,0,0,0,2,0,0,0
0,0,4,1,0,0,0,0,1,0,49,0
0,0,0,0,0,0,0,0,0,0,4,0
0,0,0,2,1,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0
0,0,5,0,0,0,0,0,1,0,132,0
0,0,0,0,1,0,0,0,1,0,0,0
1,0,2,0,1,0,0,0,3,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,184,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,2,0,1,0,0,0,3,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
1,1,2,1,0,0,1,0,2,144,36,0
0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,8,0
0,0,2,0,1,0,1,0,3,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,2,1,0,0,0,0,0,0,0
1,0,0,2,0,0,0,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,51,0
0,0,0,2,1,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,2,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0
1,0,0,0,1,0,0,0,1,0,0,0
1,1,2,1,0,1,1,0,3,0,55,211
0,0,0,2,0,0,1,1,1,0,0,0
0,0,0,2,0,0,1,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,1,0,0,0,0,0,0,0
1,1,2,0,0,0,0,0,3,0,0,0
0,0,1,0,1,0,1,0,1,0,0,0
0,0,0,0,1,0,0,0,1,0,133,0
1,1,1,0,0,0,1,1,1,11,333,0
0,0,0,2,1,0,0,0,1,0,168,0
0,0,1,0,1,0,0,0,3,0,24,0
0,0,0,1,0,0,0,0,2,13,16,0
0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,2,0,0,0
0,0,1,1,1,0,0,0,3,0,0,0
0,1,0,0,1,0,0,0,3,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0
1,1,2,0,0,1,1,0,1,61,72,0
0,1,0,2,0,0,0,0,2,0,123,0
1,0,0,2,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,2,0,0,0
1,0,0,2,0,0,0,0,0,0,0,0
1,1,1,0,0,1,0,0,3,0,0,0
0,0,0,2,0,0,0,0,0,0,62,0
0,0,1,0,0,0,0,0,1,0,153,0
0,0,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,1,0,0,0,0,1,0,0,0
0,1,0,0,1,0,1,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,32,0
0,0,0,1,0,0,0,0,0,0,5,0
1,0,0,1,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,2,8,0,0
0,0,0,2,0,0,0,0,0,0,5,0
1,0,0,0,0,0,0,0,1,0,141,0
1,0,0,1,1,0,0,0,3,121,112,0
1,1,0,2,0,0,1,0,1,17,164,0
1,0,0,0,0,0,1,0,1,0,30,0
1,0,0,0,0,0,1,0,1,0,680,0
0,0,0,0,1,0,1,0,0,0,0,0
0,0,0,2,0,0,1,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,1,0,0,0,0,0,0,0
0,0,0,2,0,0,1,0,0,0,0,0
0,0,0,2,0,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0,1,10,186,0
0,0,0,0,0,0,0,0,2,0,5,0
0,0,0,0,1,0,1,0,0,0,0,0
0,0,0,1,1,0,0,0,3,0,137,0
0,0,1,1,0,0,0,0,3,0,0,0
0,1,1,2,0,0,0,0,1,0,0,0
0,0,1,1,0,0,1,0,0,0,0,0
0,0,3,1,0,0,0,0,2,0,0,0
0,0,4,1,0,0,1,0,1,0,0,0
0,0,0,1,0,0,1,0,2,17,336,0
1,0,0,2,0,0,0,0,1,0,27,0
0,0,1,0,1,0,0,0,1,0,0,0
0,1,0,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,164,0
0,0,0,0,1,0,0,0,3,0,0,0
0,0,3,0,0,0,1,0,2,0,97,0
0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,1,1,0,1,0,0,0,2,0
0,0,0,2,1,0,0,0,0,0,0,0
0,0,0,2,1,0,1,0,3,19,0,0
0,0,0,1,1,0,0,0,1,0,0,0
1,0,2,1,1,0,1,0,1,2,52,0
0,0,0,0,0,0,1,0,1,0,0,0
0,0,0,2,1,0,0,0,2,0,45,0
0,1,0,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,1,0,1,0,163,0
0,0,4,0,1,0,0,0,0,0,0,0
0,0,0,1,0,0,1,0,0,4,0,0
0,0,0,1,0,0,0,0,1,0,22,0
1,0,0,1,0,0,1,0,1,0,0,0
1,1,0,0,0,0,0,0,2,0,282,0
0,0,0,1,1,0,0,0,2,0,0,0
1,1,4,1,0,0,0,0,3,0,0,0
0,0,1,0,0,0,0,0,1,0,352,0
0,0,5,0,1,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,0,21,0
0,0,0,2,1,0,0,0,1,0,0,0
0,1,0,0,1,0,1,0,0,0,419,0
0,0,0,0,0,0,1,0,0,0,93,0
0,1,0,1,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,2,1,0,0,0,2,0,0,0
1,0,0,0,0,0,0,0,3,0,0,18
0,0,2,1,0,0,1,1,0,0,4,0
0,0,3,2,1,0,0,0,0,0,0,0
1,0,0,1,0,0,1,1,3,0,0,0
0,0,0,1,0,0,0,0,2,0,21,0
0,1,2,0,0,0,0,0,1,0,5,0
0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,66,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,1,0,0,0,1,0,13,0
0,1,0,2,1,0,0,0,0,0,0,0
1,0,1,1,0,0,0,0,1,0,62,0
1,0,0,1,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,3,0,104,0
0,0,1,0,0,0,0,0,0,0,11,0
0,0,0,2,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,2,0,0,0,0,1,0,0,0
0,1,0,2,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,3,0,0,0
0,0,1,2,1,0,1,0,0,0,0,0
0,1,0,0,0,0,1,0,2,0,150,0
0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,2,0,65,298
0,1,0,0,1,0,0,0,0,0,0,0
0,0,0,2,1,0,1,0,1,0,26,0
0,1,1,2,0,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,290,0
0,0,0,2,1,0,0,0,0,0,22,0
1,0,1,0,1,0,0,0,0,0,0,0
0,0,1,2,1,0,1,0,0,0,27,0
0,0,0,0,0,0,0,0,0,0,18,0
0,0,0,0,0,0,1,0,1,0,33,0
0,0,0,0,1,0,0,0,0,0,4,0
0,0,1,1,1,0,0,0,1,0,0,0
0,1,1,1,0,0,1,0,2,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0
0,0,4,1,0,0,0,0,2,0,0,0
1,0,1,0,1,0,0,0,0,0,4,0
1,0,0,2,0,0,0,0,1,0,0,0
1,0,0,0,1,0,1,0,0,0,0,0
0,1,1,1,1,0,0,0,1,0,0,0
1,0,0,0,0,0,1,0,2,102,393,0
0,0,0,2,0,0,0,0,0,0,7,0
0,0,1,0,0,0,1,0,1,25,204,0
0,0,0,2,0,0,1,0,1,0,105,0
0,1,0,0,1,0,1,0,0,0,0,0
1,0,1,0,1,0,0,0,3,0,36,0
0,0,0,2,1,0,0,0,0,0,23,0
1,0,0,2,0,0,0,0,0,0,33,0
1,0,2,0,1,0,0,0,3,0,0,0
0,0,0,0,0,0,0,0,0,0,55,0
0,0,0,2,0,0,1,0,1,0,141,0
0,1,1,1,1,0,1,0,3,0,0,0
0,0,2,2,0,0,0,0,0,0,24,0
0,0,0,2,0,0,1,0,1,0,638,0
0,0,0,0,0,0,1,0,1,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0
0,0,0,1,1,0,1,0,2,0,0,0
1,0,0,2,0,0,0,0,2,0,0,0
0,0,0,2,0,0,0,0,1,0,0,0
1,0,0,0,1,0,1,0,2,0,31,0
0,1,0,2,1,0,0,0,2,0,40,0
0,0,0,2,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1,0,0,89
1,0,0,2,0,0,1,0,1,41,1034,0
0,1,2,0,0,0,0,0,2,0,60,0
0,0,0,2,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,0,0,0
1,1,1,0,0,0,1,0,3,47,427,0
0,0,0,0,0,0,1,0,0,0,0,0
0,1,0,1,0,0,1,0,3,0,0,0
0,0,0,1,1,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,1,0,21,0
0,1,0,0,1,0,1,1,3,0,4,0
0,0,1,1,0,0,1,0,1,0,0,0
